fieldguide,english_common,latin_species,length,voice,order,family,family_english,english,match,latin_species_correct,changed,comment
allabout_birds,American Coot,Fulica americana,41.15,"Although none of the vocalizations of American Coot can properly be considered a 'song,' this is a highly vocal species that calls with a variety of grunting, croaking, and squawking noises. The most common call is a short single-noted  "" krrp "" or  "" prik "" .",Gruiformes,Rallidae,"Rails, Crakes & Coots",American Coot,TRUE,Fulica americana,no,
allabout_birds,American Crow,Corvus brachyrhynchos,46.5,"Crows have more than 20 calls. The most common, a harsh caw, has several qualities and lengths that may serve different purposes. Immature begging young American Crows give a higher-pitched, nasal call that can sound like a Fish Crow. You may also hear a variety of calls and alert calls given to rally others to mob predators. The American Crow is not known for the beauty of its song, a series of loud caws. You may also hear crows making a 'subsong': a mixture of hoarse or grating coos, caws, rattles, and clicks. These are arranged in sequences that can be many minutes long, given quietly and with a rambling, improvised quality.",Passeriformes,Corvidae,"Crows, Jays",American Crow,TRUE,Corvus brachyrhynchos,no,
allabout_birds,American Dipper,Cinclus mexicanus,17,"Call is a sharp  "" zeet. ""  Song is clear and ringing, with repeated notes.",Passeriformes,Cinclidae,Dippers,American Dipper,TRUE,Cinclus mexicanus,no,
allabout_birds,American Golden-Plover,Pluvialis dominica,26,"Flight call a whistled  "" que-del, ""  or  "" tuu-u-ee. ""  Song a rapid series of abrupt whistled notes.",Charadriiformes,Charadriidae,Plovers,American Golden Plover,TRUE,Pluvialis dominica,no,
allabout_birds,American Goldfinch,Spinus tristis,12,"The American Goldfinch's most common call is its contact call, often given in flight. It sounds like the bird is quietly saying  "" po-ta-to-chip "" with a very even cadence. Birds sometimes give harsh threat calls when in feeding flocks or at the nest. Males make a  "" tee-yee "" courtship call upon landing near a female in spring or early summer, often followed by a burst of song. Females brooding nestlings make a rapid sequence of high notes when they hear their mate approaching with food. Birds at their nest make a loud, two-parted  "" bay-bee "" call if they feel threatened. Males sing a long and variable series of twitters and warbles that can be several seconds long. The notes and phrases are variable and repeated in a seemingly random order. Birds continue to learn song patterns throughout life.",Passeriformes,Fringillidae,"Finches, Euphonias",American Goldfinch,TRUE,Spinus tristis,no,
allabout_birds,American Kestrel,Falco sparverius,26.5,"American Kestrels have a fairly limited set of calls, but the most common one is a loud, excited series of 3-6  "" klee! "" or  "" killy! "" notes lasting just over a second. It's distinctive and an excellent way to find these birds. You may also hear two other common calls: a long whine that can last 1-2 minutes, heard in birds that are courting or feeding fledglings, and a fast chitter, usually used by both sexes in friendly interactions.",Falconiformes,Falconidae,"Caracaras, Falcons",American Kestrel,TRUE,Falco sparverius,no,
allabout_birds,American Oystercatcher,Haematopus palliatus,42,"American Oystercatchers make several high-pitched, sharp, and incisive calls, usually written  "" peep "" ,  "" pip "" ,  "" hueep "" , and  "" weeer.  "" These function as pairing, contact, and alarm calls; most are far-carrying in the open environments the birds inhabit.",Charadriiformes,Haematopodidae,Oystercatchers,American Oystercatcher,TRUE,Haematopus palliatus,no,
allabout_birds,American Pipit,Anthus rubescens,15.5,"The most common call is a rising  "" pi-pit "" , usually given by flying birds, either singly or in flocks. Males on the nesting grounds give a variety of similar calls (often in rapid series) when confronting rivals, warning females of danger, or arriving with food at the nest. Females give a quick series of  "" wee "" calls when soliciting food from a mate and a soft  "" peet  "" when accepting the food.   Males sing a repeated  "" chwee  "" in flight (sometimes from the ground), with the delivery of notes quickening as the bird descends.",Passeriformes,Motacillidae,"Wagtails, Pipits",Buff-bellied Pipit,TRUE,Anthus rubescens,no,
allabout_birds,American Redstart,Setophaga ruticilla,12,"Both the male and female use a variety of calls in different situations, including sharp, sweet-sounding  "" chip "" notes, soft  "" tsip "" calls, and high-pitched alarm calls. During breeding season the male sings a series of 2-11 thin, high-pitched notes, sometimes ending with an accented phrase. The building energy of the song and the abrupt, accented ending lead some people to describe the song as sneeze-like.",Passeriformes,Parulidae,New World Warblers,American Redstart,TRUE,Setophaga ruticilla,no,
allabout_birds,American Robin,Turdus migratorius,24,"American Robins often make a mumbled  "" cuck "" or  "" tuk "" to communicate with each other or a sharp  "" yeep "" or  "" peek "" as an alarm call. They also make a repeated  "" chirr "" that rises in volume and can sound like a laugh or chuckle. The musical song of the American Robin is a familiar sound of spring. It's a string of 10 or so clear whistles assembled from a few often-repeated syllables, and often described as  "" cheerily, cheer up, cheer up, cheerily, cheer up "" . The syllables rise and fall in pitch but are delivered at a steady rhythm, with a pause before the bird begins singing again. At dawn, the song is more rapid.",Passeriformes,Turdidae,Thrushes,American Robin,TRUE,Turdus migratorius,no,
allabout_birds,American Three-toed Woodpecker,Picoides dorsalis,22,"The most commonly heard calls are a sharp  "" pik "" or nasal  "" klimp "" . These calls are higher in pitch than similar calls of Black-backed. Both sexes also give a descending, fussy rattle like other small woodpeckers and recalling a kingfisher call, often delivered in flight. Birds performing displays together give a twittering call.",Piciformes,Picidae,Woodpeckers,American Three-toed Woodpecker,TRUE,Picoides dorsalis,no,
allabout_birds,American Tree Sparrow,Spizelloides arborea,14,"When feeding or foraging in flocks, American Tree Sparrows toss back and forth a musical twitter, sometimes described as a  "" teel-wit "" or  "" teedle-eet "" , which may vary from flock to flock. Alarmed, they give a hard  "" tseet "" . In flight, they make a softer  "" tsiew "" . Females solicit copulation with a  "" whey-whey-whey "" while fluttering their wings and raising their tails. Males sing a series of high, sweet whistled notes, generally falling slightly in pitch overall, often with clearer notes followed by more complex patterns. A song lasts about 1-2 seconds. There are many song dialects, each shared by many males, but each male sings only one. Singing begins in late winter before the spring migration.",Passeriformes,Passerellidae,New World Sparrows,American Tree Sparrow,TRUE,Spizelloides arborea,no,
allabout_birds,American White Pelican,Pelecanus erythrorhynchos,146,"Adults are usually silent. In aggressive and sexual encounters at the colony site, they emit frequent low, brief grunts. Chick embryos squawk before hatching to express discomfort if conditions get too hot or cold. The begging calls (described as a  "" whining grunt "" ) of hundreds of older young in the colony can be raucous..",Pelecaniformes,Pelecanidae,Pelicans,American White Pelican,TRUE,Pelecanus erythrorhynchos,no,
allabout_birds,American Wigeon,Mareca americana,50.5,"American Wigeons are one of the more vocal dabbling ducks. Males give slow, high-pitched whistles year-round: during courtship, when sensing danger or disturbance, and as contact calls. Their 3-parted nasal whistle sounds a bit like someone softly blowing through a kazoo. Females don't whistle, but instead give a harsh, grating grunt or growl during courtship.",Anseriformes,Anatidae,"Ducks, Geese, Swans",American Wigeon,TRUE,Mareca americana,no,
allabout_birds,American Woodcock,Scolopax minor,28,"Displaying males give a repeated, buzzy, nasal  "" peent "" while on the ground between flights. In the air, a displaying male chirps melodically for as long as 15 seconds as he zigzags downward from the apex of his display flight.",Charadriiformes,Scolopacidae,"Sandpipers, Snipes",American Woodcock,TRUE,Scolopax minor,no,
allabout_birds,Ancient Murrelet,Synthliboramphus antiquus,22,"Widely varied vocal repertoire around the nesting colony, consisting mostly of a rhythmic series of chirrups and chips.",Charadriiformes,Alcidae,Auks,Ancient Murrelet,TRUE,Synthliboramphus antiquus,no,
allabout_birds,Anhinga,Anhinga anhinga,85,Anhingas are generally silent expect when they are near the nest. Males and females make a loud clicking sound during nest exchanges that sounds a little like a treadle-operated sewing machine or a croaking frog with a sore throat.,Suliformes,Anhingidae,"Anhingas, Darters",Anhinga,TRUE,Anhinga anhinga,no,
allabout_birds,Anna's Hummingbird,Calypte anna,10,"Calls are a series of short, sharp chip notes that may be given one at a time or one after another to make a twittering sound. Anna's Hummingbirds have a distinctive song that is long for a hummingbird (10 seconds or more). It's a series of buzzes, then a clearer, more tuneful whistle, followed by more emphatic chip notes; then the bird may repeat the whole set of buzz-whistle-chip sounds. It may not sound like it could be coming from a hummingbird, but once you learn to recognize it this can be a very good way to locate singing males.",Apodiformes,Trochilidae,Hummingbirds,Anna's Hummingbird,TRUE,Calypte anna,no,
allabout_birds,Aplomado Falcon,Falco femoralis,40.5,"The Aplomado Falcon's call is a staccato  "" kek  "" similar to the call given by American Kestrels. They also give a slower  "" kek "" at irregular intervals generally to communicate with their mate.",Falconiformes,Falconidae,"Caracaras, Falcons",Aplomado Falcon,TRUE,Falco femoralis,no,
allabout_birds,Arctic Tern,Sterna paradisaea,33.5,"Arctic Terns like other terns are boisterous birds, frequently giving shrill, grating, and high-pitched calls. When Arctic Terns are foraging or taking off from the colony they often give a high-pitched  "" kip "" . Alarmed birds make a shrill and grating scream that is higher in pitch and less grating than the similar Common Tern.",Charadriiformes,Laridae,"Gulls, Terns, Skimmers",Arctic Tern,TRUE,Sterna paradisaea,no,
allabout_birds,Arctic Warbler,Phylloscopus borealis,12,"Loud and vigorous, fast and musical, but rather monotonous trill, often preceded by one or more sharp  "" tzick ""  sounds.",Passeriformes,Phylloscopidae,Leaf Warblers & Allies,Arctic Warbler,TRUE,Phylloscopus borealis,no,
allabout_birds,Arizona Woodpecker,Dryobates arizonae,19,"Both sexes give a loud  "" pik "" call, similar to the most commonly heard call of Hairy Woodpecker. Males give a descending, fussy rattle and both sexes a flickerlike  "" wicka-wicka-wicka  "" when disturbed. Nesting pairs give a variety of other subtle calls near the nest.",NA,NA,NA,NA,FALSE,Dryobates arizonae,no,
allabout_birds,Ash-throated Flycatcher,Myiarchus cinerascens,20,"Ash-throated Flycatchers have 4 distinct calls that they give singly, in pairs, or in combination. They make a short and rapid  "" huit "" call or string them together into a trill that lasts for 4-5 seconds. The  "" br-ick "" call is less than 1 second long and rises in pitch. They give a  "" wheer "" that varies from relatively flat in pitch to rising or descending depending on their level of excitement. The final call is a short, low-pitched, burry  "" urg "" . They combine these 4 basic calls to form 2 additional calls that are often part of the dawn song, the  "" ka-brick "" and  "" ha-wheer "" calls. Males sing a repeated series of gurgling, burry notes just before dawn until about seven in the morning during the breeding season. Their non-musical song changes in pitch from high to low and sounds rather bumpy and stuttered as if they were sputtering through a whistle. The dawn song may include the  "" ha-wheer "" call or the  "" ka-brick "" call. The length of each song varies, but each burst is about 1 second long with about 2-3 seconds of silence between bursts.",Passeriformes,Tyrannidae,"Tyrant Flycatchers, Calyptura",Ash-throated Flycatcher,TRUE,Myiarchus cinerascens,no,
allabout_birds,Atlantic Puffin,Fratercula arctica,27.5,Atlantic Puffins are silent at sea. On land males often give a piglike grunt while flicking their head back to attract a female. In their breeding burrows they make a growling call similar to the sound of a muted toy chainsaw.,Charadriiformes,Alcidae,Auks,Atlantic Puffin,TRUE,Fratercula arctica,no,
allabout_birds,Audubon's Oriole,Icterus graduacauda,21.5,"Common calls include a rising, nasal  "" nyyyee  "" or  "" yehnk "" , ""  "" a harsh, staccato chatter (probably alarm calls), and a soft  "" piu "" , probably a contact call. Both male and female sing a rather slow, whistled, rising and falling song, recalling a slide whistle.",Passeriformes,Icteridae,"Oropendolas, Orioles, Blackbirds",Audubon's Oriole,TRUE,Icterus graduacauda,no,
allabout_birds,Bachman's Sparrow,Peucaea aestivalis,13.8,"Males and females give a thin high-pitched  "" tsew "" .  Male Bachman's Sparrows start their song with a long, clear or slightly buzzy note followed by a trill. Males sing throughout the day, typically from a perch above the ground. When males are agitated they also sing a bubbling song of slurs, whistles, and trills.",Passeriformes,Passerellidae,New World Sparrows,Bachman's Sparrow,TRUE,Peucaea aestivalis,no,
allabout_birds,Baird's Sandpiper,Calidris bairdii,16,"Migrants give a low-pitched, harsh, grating  "" kreep "" call similar to Pectoral Sandpiper's, probably an alarm call. On the breeding ground, adults also give this call as well as trills and a rising 'laughing' call. Males in display flight give a combination of vocalizations that serve as a song: a purring trill followed by rising  "" twoowee  "" calls, then closing with a different trill likened to chattering.",Charadriiformes,Scolopacidae,"Sandpipers, Snipes",Baird's Sandpiper,TRUE,Calidris bairdii,no,
allabout_birds,Baird's Sparrow,Centronyx bairdii,13,"The most common call is a high, week,  "" teep. "" One of the most distinctive sounds of the northern Great Plains, the song of the Baird's Sparrow is a descending series of clear, tinkling notes and ending in a trill. The song lasts up to about 3 seconds.",Passeriformes,Passerellidae,New World Sparrows,Baird's Sparrow,TRUE,Centronyx bairdii,no,
allabout_birds,Bald Eagle,Haliaeetus leucocephalus,83.5,"For such a powerful bird, the Bald Eagle emits surprisingly weak-sounding calls—usually a series of high-pitched whistling or piping notes. The female may repeat a single, soft, high-pitched note that has been called 'unlike any other calls in nature'; apparently this signals her readiness for copulation.",Accipitriformes,Accipitridae,"Kites, Hawks, Eagles",Bald Eagle,TRUE,Haliaeetus leucocephalus,no,
allabout_birds,Baltimore Oriole,Icterus galbula,18,"Both male and female Baltimore Orioles give a staccato chatter during aggressive encounters, such as when trying to drive an intruder out of their nesting area. The chatter call may be heard at any time of day and year. It alerts other orioles nearby and can attract them to help drive away the threat. Both male and female Baltimore Orioles also give a sharp, repetitive  "" chuck "" as an alarm call. Neighboring orioles of various species respond to each others'  "" chuck "" calls. Female Baltimore Orioles give a special, aggressive scream call when defending their nests. The pure, liquid, whistling tones of the male Baltimore Oriole are a herald of springtime in eastern North America. His song consists of a short series of paired notes, repeated 2-7 times, lasting 1-2 seconds. The flutelike sound has a full, rich tone. The male sings to establish and defend a breeding territory, so you won't hear the full song on the wintering grounds. The female Baltimore Oriole also sings. Her shorter songs may be communications with her mate. Occasionally, mated pairs may sing a duet.",Passeriformes,Icteridae,"Oropendolas, Orioles, Blackbirds",Baltimore Oriole,TRUE,Icterus galbula,no,
allabout_birds,Band-tailed Pigeon,Patagioenas fasciata,36.5,"The male makes mechanical chirping calls while both males and females give a soft, nasal grunt to keep other individuals from crowding too closely. From the top of a tall tree, the male gives a slow series of deep, hooting, almost owl-like coos, each rising slightly in pitch.",Columbiformes,Columbidae,"Pigeons, Doves",Band-tailed Pigeon,TRUE,Patagioenas fasciata,no,
allabout_birds,Bank Swallow,Riparia riparia,13,"The typical call, often given during flight, is a harsh, guttural  "" tschr tschr "" . The Bank Swallow song, given by the male during the breeding season for territorial advertisement and courtship, and by females during pair bonding, is a twittery, bubbling chatter.",Passeriformes,Hirundinidae,"Swallows, Martins",Sand Martin,TRUE,Riparia riparia,no,
allabout_birds,Barn Owl,Tyto alba,36,"Barn Owls don't hoot the way most owls do; instead, they make a long, harsh scream that lasts about 2 seconds. It's made mostly by the male, who often calls repeatedly from the air. Females give the call infrequently. A softer, more wavering version of this is termed a purring call. Males use it to invite a female to inspect a nest site, and females use it to beg for food from the male. Barn Owls also make a loud, 3-4 second hiss at intruders or predators that disturb the nest.",Strigiformes,Tytonidae,Barn Owls,Western Barn Owl,TRUE,Tyto alba,no,
allabout_birds,Barn Swallow,Hirundo rustica,17,"Barn Swallows give a  "" cheep "" call when threatened, and when predators approach too close to a nest site, a  "" churee "" whistle will send adults diving at the threat. In colonies, this call may flush all of the adults from their nests and set them circling above a predator. Males apparently may foil their mate's attempt to copulate with another male by giving a 'fake' alarm call. Both sexes also give an agitated, stuttering call when chasing other Barn Swallows away from nest sites or mates. Both male and female Barn Swallows sing a 'twitter-warble' song during courtship and egg-laying, with a long series of continuous warbling sounds followed by up to a dozen rapid, mechanical-sounding  "" whirr "" s. The song can last 4-20 seconds and is often introduced and followed by a chirp.",Passeriformes,Hirundinidae,"Swallows, Martins",Barn Swallow,TRUE,Hirundo rustica,no,
allabout_birds,Barred Owl,Strix varia,46.5,"Barred Owls have a distinctive hooting call of 8-9 notes, described as 'Who cooks for you? Who cooks for you-all?' This call carries well through the woods and is fairly easy to imitate. During courtship, mated pairs perform a riotous duet of cackles, hoots, caws and gurgles. Although the Barred Owl is not technically a songbird, its distinctive  "" Who cooks for you? ""  call (see below) functions as a song.",Strigiformes,Strigidae,Owls,Barred Owl,TRUE,Strix varia,no,
allabout_birds,Barrow's Goldeneye,Bucephala islandica,45.7,"Females traveling to and from the nest often give a low, throaty  "" cuc-cuc-cuc "" call. Courting males give a similar grunting  "" ka-kaa "" during courtship display. In flight, both sexes sometimes give a high-pitched  "" eeee "" .",Anseriformes,Anatidae,"Ducks, Geese, Swans",Barrow's Goldeneye,TRUE,Bucephala islandica,no,
allabout_birds,Bay-breasted Warbler,Setophaga castanea,14,"The most commonly heard call note is a high-pitched, buzzy  "" chip "" or  "" sip "" . Males (rarely females) sing a series of up to 10 very high-pitched, sibilant  "" see "" or  "" szee "" or  "" teesi "" notes, on one pitch, difficult to hear at a distance. Early in the breeding season, but not during nesting, the final note of this song is usually accented.",Passeriformes,Parulidae,New World Warblers,Bay-breasted Warbler,TRUE,Setophaga castanea,no,
allabout_birds,Bell's Sparrow,Artemisiospiza belli,13.5,"Both sexes give a distinctive, bell-like  "" tink "" contact call, and use a similar, but more forceful note as an alarm call. The song is an abrupt series of several trills broken up by short chips, lasting about 2 seconds or less. Only males sing, and each male gives one song type which can vary by truncating the last syllables.",Passeriformes,Passerellidae,New World Sparrows,Bell's Sparrow,TRUE,Artemisiospiza belli,no,
allabout_birds,Bell's Vireo,Vireo bellii,12,"Bell's Vireo has numerous calls. Most often heard is a fast, nasal, scolding alarm call, which sounds wrenlike. Other calls associated with conflict or contact include  "" zip "" ,  "" churt "" ,  "" chim "" , and a high, piercing squeal. The primary song is a hurried, scratchy  "" cheedle cheedle chee? ""  "" cheedle cheedle chew!  "" —easily remembered by its two-part structure, a rising question followed by a definitive answer. Males sing incessantly during the breeding season, females very rarely. Young male Bell's Vireos also give a quiet, rambling version of the song late in the breeding season, almost as if practicing their singing. This is true of many vireo species.",Passeriformes,Vireonidae,"Vireos, Greenlets, Shrike-babblers",Bell's Vireo,TRUE,Vireo bellii,no,
allabout_birds,Belted Kingfisher,Megaceryle alcyon,31.5,"Male and female Belted Kingfishers give strident, mechanical rattles in response to the slightest disturbance. When threatened they may give screams, which males sometimes combine with harsh calls.",Coraciiformes,Alcedinidae,Kingfishers,Belted Kingfisher,TRUE,Megaceryle alcyon,no,
allabout_birds,Bendire's Thrasher,Toxostoma bendirei,24,"Calls include a low, guttural  "" chek, "" recalling the common call of Northern Mockingbird, and an inquisitive-sounding  "" quee "" . Males sing a rich, variable warble made up of repeated elements, with each part repeated 2-4 times. The song has fewer harsh phrases, trills, or whistles than songs of larger thrashers and usually lacks pauses between phrases. Females are not known to sing.",Passeriformes,Mimidae,"Mockingbirds, Thrashers",Bendire's Thrasher,TRUE,Toxostoma bendirei,no,
allabout_birds,Bewick's Wren,Thryomanes bewickii,13,"Foraging Bewick's Wrens stay in contact with short notes that sound like  "" plink plink "" or  "" pee "" or—from females— "" sker "" . If a male hears another male nearby, he may stop foraging, hurrying to the territorial boundary to chase the interloper away. When agitated, both males and females scold in quick, raspy notes. Immediately before roosting, the male utters series of harsh ( "" spzz "" ) notes. Only the male Bewick's Wren sings, to defend territory and attract mates. Songs vary from one geographical area to another, and a single male may possess a repertoire of 9 to 22 distinct songs. Typically, these begin with two or more high, quick introductory notes, drop into a lower, burry phrase, and end on a high trill. Variations can include additional warbles and buzzy notes. Songs last about 2 seconds.",Passeriformes,Troglodytidae,Wrens,Bewick's Wren,TRUE,Thryomanes bewickii,no,
allabout_birds,Bicknell's Thrush,Catharus bicknelli,16.5,"The most often heard call note is a rather harsh  "" veer "" or  "" queep "" . The nocturnal flight call is similar and generally higher in pitch than that of Gray-cheeked Thrush. Agitated birds on the nesting grounds sometimes give growling or fussing calls. Adults give a soft single or double  "" chuk "" as a contact call. Males (occasionally females) sing a four-phrased, fluting song with a whirling quality. The last phrase rises in pitch (or remains the same in pitch), unlike Gray-cheeked Thrush's song, in which the end phrase falls in pitch. The songs of these two closely related species are otherwise very similar in quality.",Passeriformes,Turdidae,Thrushes,Bicknell's Thrush,TRUE,Catharus bicknelli,no,
allabout_birds,Black Guillemot,Cepphus grylle,31,"High-pitched, tremulous whistles and staccato piping calls, heard mostly on the breeding grounds.",Charadriiformes,Alcidae,Auks,Black Guillemot,TRUE,Cepphus grylle,no,
allabout_birds,Black Oystercatcher,Haematopus bachmani,44.5,"High-pitched, piping or whistling notes, given singly or in rolling, stuttering, or trilling series, often sounding like an excitable  "" wheee  "" as if given by a kid on a roller coaster.",Charadriiformes,Haematopodidae,Oystercatchers,Black Oystercatcher,TRUE,Haematopus bachmani,no,
allabout_birds,Black Phoebe,Sayornis nigricans,16,"Black Phoebes give  "" tsip "" calls throughout the year during flight, foraging, and predator interactions. When chasing mates or intruders, they give a  "" tweedle-deedle-eek "" call. During the breeding season males address females with soft, wheezy chatters. Male Black Phoebes sing a long series of repeated  "" tee-hee tee-hoo "" notes to defend territories and attract mates.",Passeriformes,Tyrannidae,"Tyrant Flycatchers, Calyptura",Black Phoebe,TRUE,Sayornis nigricans,no,
allabout_birds,Black Rail,Laterallus jamaicensis,12.5,"The most frequently heard call is a low, growling  "" kerrrr-kerrrr-kerrrr  "" from agitated birds defending the nest or territory. Females disturbed at the nest give a high-pitched series of nasal "" ink "" calls; males tend to give  "" kik "" calls in the same circumstances. Females may also give a Least Bittern-like  "" coo-coo-coo "" and a harsh  "" kik-kik-krrrr "" . Males (and possibly females) give a strange raspy hiss when a predator is near the nest. A barking  "" churt  "" probably serves as a contact call for both sexes. Males usually sing a rolling, froglike  "" kick-ee-kerr  "" (with the last note lower in pitch). Some males add 1-2 short notes at the beginning.",Gruiformes,Rallidae,"Rails, Crakes & Coots",Black Rail,TRUE,Laterallus jamaicensis,no,
allabout_birds,Black Rosy-Finch,Leucosticte atrata,15,"Black Rosy-Finches give a buzzy  "" chew "" and a higher-pitched whiny call that sounds like a cross between a House Sparrow and an American Goldfinch.",Passeriformes,Fringillidae,"Finches, Euphonias",Black Rosy Finch,TRUE,Leucosticte atrata,no,
allabout_birds,Black Scoter,Melanitta americana,46,"Courting males give a mournful-sounding, descending whistle,<strong> </strong> "" wheeoooooo "" , and courting females often call in response. Another vocalization is a rattling  "" tuka-tuka-tuka-tuk "" , but this is seldom heard. ""  "" Flight calls described in this species include a low growling sound and a reedy "" tooooo-it "" , sometimes repeated.",Anseriformes,Anatidae,"Ducks, Geese, Swans",Black Scoter,TRUE,Melanitta americana,no,
allabout_birds,Black Skimmer,Rynchops niger,45,"The only vocalization is a nasal, yapping bark, given by both sexes in many contexts and often heard from flying birds during bouts of foraging. Males give calls slightly lower in pitch than females. None.",Charadriiformes,Laridae,"Gulls, Terns, Skimmers",Black Skimmer,TRUE,Rynchops niger,no,
allabout_birds,Black Swift,Cypseloides niger,18.2,"In flight, Black Swifts make a rapid series of twittering chips.",Apodiformes,Apodidae,Swifts,American Black Swift,TRUE,Cypseloides niger,no,
allabout_birds,Black Tern,Chlidonias niger,29.5,"A clipped  "" kik i "" s the most commonly heard call. Nesting birds make longer "" kyew "" ,  "" kyew-dik "" , and "" kyew-ki-dik  "" calls.",Charadriiformes,Laridae,"Gulls, Terns, Skimmers",Black Tern,TRUE,Chlidonias niger,no,
allabout_birds,Black Turnstone,Arenaria melanocephala,23.5,"Year-round, turnstones give high-pitched, stuttering calls that make them easy to locate, even when they are camouflaged among dark rocks. They often call when flushed into flight. Nesting birds give a variety of other purring and trilling calls during courtship, conflict, and chick-rearing. Males vocalize during their display flight, a series of repeated rattling or buzzy calls that ends with a sharp, descending rattle as they come out of the display and land.",Charadriiformes,Scolopacidae,"Sandpipers, Snipes",Black Turnstone,TRUE,Arenaria melanocephala,no,
allabout_birds,Black Vulture,Coragyps atratus,64,"Black Vultures are silent most of the time. They make raspy, drawn-out hissing sounds while feeding and fighting, along with grunting noises that can sound like hungry pigs or dogs barking in the distance. Courting vultures may give a yapping sound. Nestlings give low hisses or coughs to beg for food, and adults at the nest sometimes give creaky, pigeonlike coos.",Accipitriformes,Cathartidae,New World Vultures,Black Vulture,TRUE,Coragyps atratus,no,
