Page,Family,EnglishCommon,LatinSpecies,Length,Voice,Notes,,
15,Anatidae,Wood Duck,Aix sponsa,18.5,"Mainly thin, squeaky whistles. Female a penetrating squeal ""ooEEK ooEEK…"" also a raucous quack, rarely heard. Male a thin, high, drawn-out ""jeweeep"" or ""sweeoooo, kip kip kip"". Male wing whistle similar to Mallard.",,,
18,Anatidae,Mallard,Anas platyrhynchos,23,"Female gives familiar, loud quacking calls; also deep, reedy laughing; similar calls by other dabblers are shorter, harsher, often higher. Also single loud quacks in a variety of siutations (e.g., when flushed a series of single rising quacks ""brehk, brehk...""). Males gives a similar short, rasping ""quehp"". Displaying male gives short whistle ""piu"" similar to teals but weaker. Wings whistle faintly in flight.",,,
19,Anatidae,Mottled Duck,Anas fulvigula,22,"Voice like Mallard, but female quack may be a little weaker and softer on average.",,,
19,Anatidae,American Black Duck,Anas rubripes,23,"Like Mallard, but female quack averages slightly lower-pitched.",,,
20,Anatidae,Gadwall,Anas Strepera,20,"Female quack similar to Mallard but coarser, more nasal. Male in courtship gives low, nasal burp ""mepp""; often combined with quiet, high squeak ""tiMEPP"".",,,
20,Anatidae,Northern Pintail,Anas acuta,female 21; male 25,"Female quack quieter, hoarser than Mallard. Counting male gives high, wiry, drawn-out ""zoeeeeeaa"" and short, melow whistle ""toop"" or ""prudud""; lower-pitched and more melodious than Green-winged Teal, often doubled.",,,
21,Anatidae,American Wigeon,Anas americana,20,"Female quack low, harsh, growling ""rred"" or ""warr warr warr"" similar to Aythya ducks. Male a distinctive airy whistle of two or three syllables ""wi-WIW-weew"" or ""Wiwhew"".",,,
21,Anatidae,Eurasian Wigeon,Anas penelope,20,"Female quack may be even harsher than American. Male whistle distinctive, similar to American but higher, stronger, more vibrant descending single note ""hwEEEEEEr.|",,,
22,Anatidae,Blue-winged Teal,Anas discors,15.5,"Female quack coarse, high, less nasal than Green-winged; higher than Northern Shoveler. Courting male gives a rather thin, high whistle ""pwis"" or ""peeew""; sometimes a nasal ""paay"" lke Northern Shoveler.",,,
22,Anatidae,Cinnamon Teal,Anas cyanoptera,16,"Female quack like Blue-winged. Male in display gives a dry, chattering or rattling ""gredek gredek…""; vaguely reminiscent of Northern Shoveler, unlike the whisle of Blue-winged.",,,
23,Anatidae,Garganey,Anas querquedula,15.5,"Femle gives a feeble, shrill croak like Green-winged Teal; some calls like Blue-winged Teal or Northern Shoveler. Male in display gives a drawn-out, dry clicking like winding of a fishing reel, similar to Cinnamon Teal.",,,
23,Anatidae,Northern Shoveler,Anas clypeata,19,"Female quack deep and hoarse ""kwarsh"" and short ""gack gack ga ga ga"". Male in courtship gives nasal, unmusical ""thuk-thUK"" and in fall a loud, nasal ""paay"". Male's wings produce rattling soud on takeoff.",,,
24,Anatidae,Green-winged Teal,Anas crecca,14,"Female voice shriller, feebler than other ducks: high, nasal, scratchy ""SKEEE we we we""; quality like snipes. Courting male gives a shrill, ringing whistle ""kreed"" or ""krick"" like Spring Peeper, sometimes in series of short phrases ""te tiuti"", etc.; males in fall give hoarser whistle.",,,
26,Anatidae,Canvasback,Aythya valisineria,21,"Female gives a low, rough, growling ""grrrt grrrt…"" like other Aythya ducks; also a repeated ""kuck"". Male in display gives eerie hooting ""go-hWOOO-o-o-o"" with weird, squeaky overtones.",,,
26,Anatidae,Redhead,Aythya americana ,19,"Female gives a rather soft, low, nasal ""grehp"" or harsher ""squak"". Courting male gives distinctive andd far-carrying cat-like nasal ""waow"".",,,
27,Anatidae,Ring-necked Duck,Aythya collaris,17,"Female gives a purring or rough growl ""kerp kerp…"". Male usually silent; during display gives a low-pitched, hissing whistle like a person blowing through a tube.",,,
27,Anatidae,Tufted Duck,Aythya fuligula,17,"Female gives a soft, growling ""kerrb"". Courting male produces a rapid, whistled giggle ""WHA-wa-whew""; also a hoarse ""wheeoo"" and high peeping during display.",,,
28,Anatidae,Greater Scaup,Aythya marila,18,"Female gives very rough, hoarse ""karr karr…"". Male in display often silent; sometimes produces a soft, hollow, bubbling hoot ""blup BIDIVooo"".",,,
28,Anatidae,Lesser Scaup,Aythya affinis,16.5,"Like Greater but slightly higher-pitched. Male display includes a husky whistle, higher than Greater and less bubbling.",,,
30,Anatidae,Common Eider,Somateria mollissima,24,"Female gives hoarse, guttural croaking or groaning sounds, from single ""grog"" to rapid clucking series ""kokokokok"". Courting male gives a very low, hollow, ghostly moan ""oh-OOOOOooo"".",,,
31,Anatidae,King Eider,Somateria spectabilis,22,"Female gives low, wooden ""gogogogogo…""; deeper than Common Eider. Courting male gives  low, hollow, quavering moan in crescendoing series ""broo broooo brOOOOO broo"".",,,
31,Anatidae,Spectacled Eider,Somateria fischeri,21,"Generally silent. Female gives ""gogogo…"" like other eiders; croaking and clucking sounds at nest. Male in display gives faint ""ho-HOO""; weaker than similar call of Common Eider.",,,
32,Anatidae,Harlequin Duck,Histrionicus histrionicus,16.5,"Female gives an agitated, nasal ""ekekekekek…""; also smooth quacking. Male gives a high, squeaky whistle ""tiiv"", sometimes rapidly repeated; reminiscent of Spotted Sandpiper alarm note.",,,
32,Anatidae,Steller's Eider,Polysticta stelleri,17,"Generally quiet. Female gives rapid, guttural calls and loud ""cooay"" in winter flocks; lacks ""gog"" call of Somateria eiders. Male essentially silent. Wings produce whistle in flight, louder than goldeneyes.",,,
33,Anatidae,Long-tailed Duck,Clangula hyemalis,16.5; male 21,"Very vocal Feb-Jun. Female calls vary: soft grunting/quacking ""urk urk"" or ""kak kak kak kak"". Male gives a melodious yodeling with clear, baying quality ""upup OW OweLEP"".",,,
34,Anatidae,Black Scoter,Melanitta nigra,19,"Most vocal scoter. Female calls low, hoarse, growling ""kraaaa"". Male gives slurred, mellow, piping ""peeeew"" and plaintive whistle ""cree"". Adult male's wings produce quiet, shrill whistling.",,,
34,Anatidae,Surf Scoter,Melanitta perspicillata,20,"Usually silent. Female gives a croaking ""krrrraak krrraak"". Male produces a low, clear whistle or liquid, gurgling ""puk puk"". Adult male's wings produce a low, hollow whistling.",,,
35,Anatidae,White-winged Scoter,Melanitta fusca,21,"Usually silent; calls brief, crude. Female and male give harsh, guttural croak/quack. Male in display gives thin whistle ""wher-er"". Male's wings produce quiet, whistling sound in certain flight displays.",,,
35,Anatidae,Smew,Mergellus albellus,16,Usually silent.,,,
36,Anatidae,Barrow's Goldeneye,Bucephala islandica,18,"Female call like Common but possibly a little higher-pitched. Male in display gives weak, grunting ""kaKAA"", unlike Common. Wings produces low whistle in flight; possibly quieter and less metallic than Common.",,,
36,Anatidae,Common Goldeneye,Bucephala clangula,18.5,"Female gives low, grating ""arr arr…"" like Aythya ducks, often in flight. Male in display gives rasping, buzzy whistle ""jip JEEEEV"" and low, hollow rattle. Wings produce low, metallic whistle in flight; loudest in adult male.",,,
37,Anatidae,Bufflehead,Buephala albeola,13.5,"Usually silent. Female gives a low, hollow ""prrk prrk…"" similar to goldeneyes but weaker, softer. Male produces a quealing or growling call.",,,
37,Anatidae,Hooded Merganser,Lophodytes cucullatus,18,"Female gives a soft croak ""wrrep""; sometimes ""ca ca ca ca ca…"" in flight. Male in display gives a low, purring croak, descending and slowing ""pah-hwaaaaaa"". Wings produce high, cricket-like trill in flight; loudest in adult male.",,,
38,Anatidae,Common Merganser,Mergus merganser,25,"Female call a deep, harsh, croaking ""karr-r"" in flight, sometimes accelerating to cackling ""kokokokok"". Male also gives hoarse croaking notes; in display faint twanging or bell-like single notes.",,,
38,Anatidae,Red-breasted Merganser,Mergus serrator,23,"Female gives ""prek prek…"" in flight, similar to Common Merganser but slightly higher-pitched. Male mostly silent; in display a purring or scraping ""ja-aah"" and wheezy, metallic ""yeow"".",,,
39,Anatidae,Masked Duck,Nomonyx dominicus,13.5,"Generally silent. Female gives a short hissing noise. Male in display gives a long series ""kirri kirroo kirri kirroo kirroo kirroo kirrrr""; also quiet puffing sounds and a low bark.",,,
39,Anatidae,Ruddy Duck,Oxyura jamaicensis,15,"Female gives a low, nasal ""raanh""; also a high, sharp squeak and thin ""tweet"". Male essentially silent except during display: muffled popping seris ""jif jif jif jif ji ji ji ji jijijijijiwirrrrr""; also series of staccato pops produced by feet running on surface of water.",,,
41,"Cracidae, Odontophoridae, Phasianidae",Himilayan Snowcock,Tetraogallus himalayensis,26,A curlew-like whistle in display; low clucking and shrill cackles.,,,
41,"Cracidae, Odontophoridae, Phasianidae",Helmeted Guineafowl,Numida meleagris,23.2,Raucous notes in rhythmic series.,,,
41,"Cracidae, Odontophoridae, Phasianidae",Indian Peafowl,Pavo cristatus,63,"Male gives very loud, wailing cries.",,,
41,"Cracidae, Odontophoridae, Phasianidae",Red Junglefowl,Gallus gallus,23.2,"Male gives raucous crowing ""cock-a-doodle-doo""; both sexes (but especially females) give a variety of clucking sounds.",,,
41,"Cracidae, Odontophoridae, Phasianidae",Golden Pheasant,Chrysolophus pictus,34.4,NA,,,
42,"Cracidae, Odontophoridae, Phasianidae",Plain Chachalaca,Ortalis vetula,22,"Incredibly raucous, loud calls given by many birds in syncronized chorus, especially at dawn. Lead bird low-pitched ""GRA da da"" joined by others giving squeakier, higher-pitched ""REEK a der"". A muffled, toneless ""krrrr"" given when nervous, leading into raucous clattering ""KLOK aTOK aTOK aTOK"" as birds take flight.",,,
42,"Cracidae, Odontophoridae, Phasianidae",Montezuma Quail,Cyrtonyx montezumae,8.75,"Male song an eerie, melancholy, vibrant, descending whistle ""vwirrrrr""; also gives piping ""querp"" or louder ""querp-quueeep"". Other calls include ""low wep wep…"" and soft low ""pwew""; assembly call a low, whistled series of six to nine notes descending in pitch. Flush with loud, popping wing noise.",,,
43,"Cracidae, Odontophoridae, Phasianidae",Northern Bobwhite,Colinus virginianus,9.75,"Male song a strong, clear whistle ""pup-WAAAYK"" or ""bob-WHITE"" (often imitated by starlings, mockingbirds, etc.); also a loud, harsh ""quaysh"" or ""quEEEak"". Covey calls include ""hoy"", ""hoypoo"", and ""koilee""; contact calls a soft ""took"" and ""pitoo"". Ground predators elicit soft, musical ""tirree"", changing to ""ick-ick-ick"" or ""toil-ick-ick-ick""; avian predators elicit throaty ""errrk"". Male in southern Texas gives harsher ""bob-WHIISH"" than northern birds.",,,
44,"Cracidae, Odontophoridae, Phasianidae",California Quail,Callipepla californica,10,"Location call a repeated, nasal ""put way doo"" similar to Gambel's, but lower-pitched, usually three syllables, and final note longer and descending, indvidually variable. Male song a single note ""caaw"". Other calls clucking and sputtering.",,,
44,"Cracidae, Odontophoridae, Phasianidae",Gambel's Quail,Callipepla gambelli,10,"Location call a repeated, nasal ""pup waay pop pop"", very similar to California Quail. Male song a nasal descending ""caaw"", like a drawn out syllable of location call. Other calls include a descending or moaning ""where"" or ""uweeea""; high, sharp ""spik"" notes; hoarse, trumpeting ""krrt""; soft clucking notes. Some calls quite distinct from California.",,,
45,"Cracidae, Odontophoridae, Phasianidae",Scaled Quail,Caliepepla squamata,10,"Male song a high, raucous outburst ""QUEESH"" or ""BEISH""; location call by both sexes a slow, rhythmic, coarse clucking ""kek kut kek kut…"" or ""kek kyurr, kek kyurr…."" (or ""Pe-cos""). When flushed a sharp ""cheep"" or ""chipee"". Other calls include high, sharp chip or trill of sharp notes reminiscent of small songbirds.",,,
45,"Cracidae, Odontophoridae, Phasianidae",Mountain Quail,Oreortyx pictus,11,"Male song loud, raucous, ringing, two-syllable ""QUEark"", like Scaled Quail but lower, descending (and no range overlap); delivered about every 6 seconds. Loud sharp whistled ""cle-cle-cle…"" or ""kw kow kow…"" series reunites covey. Alarm call a creaking ""cree-auk"". Other soft clucking and trilled notes given by both sexes.",,,
46,"Cracidae, Odontophoridae, Phasianidae",Chukar,Alectoris chukar,14,"A series of nasal, clipped clucks ""kakakaka-kakakachukAR chuKAR chuKAR"". In flight quiet clucking sounds and loud, harsh note followed by softer notes ""PITCH-oo-whidoo"".",,,
46,"Cracidae, Odontophoridae, Phasianidae",Gray Partridge,Perdix perdix,12.5,"Male gives repeated scratchy """"Kishrrr"" or ""kshEEErik""; quality reminiscent of guineafowl. Both sexes give ""keeeah"" and clucking notes. Covey flushes with wing noise and loud, high, creaking ""keep, keep…"" in cackling chorus.",,,
47,"Cracidae, Odontophoridae, Phasianidae",Ring-necked Pheasant,Phasianus colchicus,21,"Male display a loud, harsh, hacking ""uurk-iik"" fllowed by short burst of noisy wingbeats. When flushed males give loud, harsh cackle; females sometimes a quieter cackle. Also a variety of low, clucking notes, some very similar to domestic hen.",,,
48,"Cracidae, Odontophoridae, Phasianidae",Spruce Grouse,Falcipennis canadensis,16,"Both sexes give guttural notes and clucks. Display of male differs between populations: Taiga display involves gliding from 10 to 20 feet up in tree, turning body vertically and hovering to ground; Franklin's display involves gliding to to 100 yards from perch and producing two loud wing claps (like gunshots) before settling on ground.",,,
49,"Cracidae, Odontophoridae, Phasianidae",Sooty Grouse,Dendragapus fuliginosus,20,"Male advertising call a series of very low, pulsing hoots ""whoof whoof whoof whoof whoof whoof"", rising then falling slightly (compare Great Gray Owl), higher and louder than Dusky. Sooty audible at a quarter mile, Dusky only at a few hundred feet. In display male gives single low hoot. Both sexes give a low ""gr gr gr gr"" and soft clucking or barking sounds.",,,
49,"Cracidae, Odontophoridae, Phasianidae",Dusky Grouse,Dendragapus obscurus,20,"Male advertising call similar to Sooty but lower and quieter, audible only at close range; in display gives single low hoot like Sooty. Both sexes give a low ""gr gr gr gr"" and soft clucking or barking sounds like Sooty.",,,
50,"Cracidae, Odontophoridae, Phasianidae",Rock Ptarmigan,Lagopus muta,14,"Male in display gives guttural, croaking rattle followed by quiet hiss ""krrrr-Karrrrr, wsshhh"" very unlike Willow. Displays mainly on ground: sliding on breast, rolling, leaping. Flight display ending with croaking call may be more common in Aleutian populations. Both sexes give clucking notes.",,,
51,"Cracidae, Odontophoridae, Phasianidae",Willow Ptarmigan,Lagopus lagopus,15,"Male in display gives comical, nasal barking calls in series ""goBEK goBEK goBEK, poDAYdo poDAYdo…"" and a smoothly accelerating laugh. Female gives barking ""dyow""; both sexes give clucking notes.",,,
51,"Cracidae, Odontophoridae, Phasianidae",White-tailed Ptarmigan,Lagopus leucura,12.5,"Male in display gives rapid clucking ""pik pik pik pik piKEEA"" and low, hoarse ""pwirrr"" while alternating fast and slow strutting; no flight display. Both sexes give clucking notes.",,,
52,"Cracidae, Odontophoridae, Phasianidae",Ruffled Grouse,Bonasa umbellus,17,"Male display is non-vocal, a series of accelerating, muffled thumps, produced by beating wings with increasing speed while standig, like a distant motor starting (this low-pitched drumming may be felt more than heard). Both sexes give clucking notes and higher squeal when alarmed; flush with explosive burst of wingbeats.",,,
52,"Cracidae, Odontophoridae, Phasianidae",Sharp-tailed Grouse,Tympanuchus phasianellus,17,"Male display includes weird, unearthly hoots ""yooowm, gyowdowdyom, gloooowm…""; higher-pitched, more varied than prairie-chickens; hoots interspersed with quacking ""wek"" and soft, dry chatter produced by stamping feet on ground. Both sexes give clucking notes. When flushed a cackling ""kek-kek-kek-kek"".",,,
53,"Cracidae, Odontophoridae, Phasianidae",Greater Prairie-Chicken,Tympanuchus cupido,17,"Male display includes long, low, hooting moan ""oooa-hooooooom"" about two seconds long (like air blown across the top of a bottle); also high, wild clucking sounds, ""hoaa"" notes, foot stamping, and a ""pwoik"" in presence of female. Both sexes give clucking notes. Usually silent when flushed (except for loud wing noise) unlike Sharp-tailed Grouse.",,,
53,"Cracidae, Odontophoridae, Phasianidae",Lesser Prairie-Chicken,Tympanuchus pallidicinctus,16,"All calls higher-pitched and shorter than Greater. Male display a bubbling, hooting ""wamp wamp wodum wodum"" and wild clucking in descending series; also a sharp ""pike"" in presence of female. Both sexes give clucking notes.",,,
54,"Cracidae, Odontophoridae, Phasianidae",Greater Sage-Grouse,Centrocercus urophasianus,male 28; female 22,"Display of male includes two swishing sounds as wings bush against body, then two weird hooting, popping sounds ""oo-Widoo-Widoo-wup"". Also gives guttural clucking and cackling notes. Flushes with noisy wingbeats.",,,
54,"Cracidae, Odontophoridae, Phasianidae",Gunnison Sage-Grouse,Centrocercus minimus,male 22; female 18,"Display of male, with nine lower-pitched hooting or popping sounds; three faint wing-swish sounds in middle of display (very little wing movement); the whole display low-pitched and monotonic. Also constantly raises thicker filoplumes above head, and its display often ends with a tail-shaking motion with the tail still raised) absent in Greater. Year-round both sexes give guttural clucking and cackling notes.",,,
55,"Cracidae, Odontophoridae, Phasianidae",Wild Turkey,Meleagris gallopavo,male 46; female 37,"Male in display gives familiar descending gobble. Female gives loud, sharp ""tuk"" and slightly longer, whining ""yike…"" repeated in slow series. Both sexes give a variety of other soft clucks and rolling calls.",,,
57,"Gaviidae, Podicipedidae",Common Loon,Gavia immer,32,"Low, melancholy yodeling or wiling cries. Tremolo of five to ten notes on even pitch ""hahahahahahaha"" heard year-round, often in flight; sometimes a short ""kuk"" or ""gek"" in flight. In summer an undulating ""whe-ooo quee"" and rising wail ""hoooo-lii"".",,,
57,"Gaviidae, Podicipedidae",Yellow-billed Loon,Gavia adamsii,35,"Voice similar to Common but lower-pitched, harsher, delivered more slowly.",,,
58,"Gaviidae, Podicipedidae",Arctic Loon,Gavia artctica,27,"Calls mainly on breeding grounds; similar to Pacific but deeper. Long call a slurred ""owiiil-ka owiiil-ka owiiil-ka""; lower-pitched, less strident, simpler than Pacific. Also a raven-like ""kraaw"" and a muffled ""aahaa"" like Canada Goose"".",,,
58,"Gaviidae, Podicipedidae",Pacific Loon,Gavia pacifica,25,"Calls mainly on breeding grounds, giving plaintive, yodeling ""o-lo-lee"". Long call a mournful but rather high and strident ""ooaLEE-kow, ooaLEE-kow, ooaLEE-kow"". Also a raven-like ""kowk"" and other growls and croaks.",,,
59,"Gaviidae, Podicipedidae",Red-throated Loon,Gavia Stellata,25,"Drawn-out, gull-like wailing or shrieking ""aarOOoa, aarOOoa…""; less rhythmic than Red-necked Grebe. Adult flying over nesting territories gives short, nasal quacks ""bek, bek, bek…"", sometimes building to cackling ""kark kark kark karkarak karkarak"".",,,
60,"Gaviidae, Podicipedidae",Eared Grebe,Podiceps nigricollis,13,"Essentially silent except on breeding grounds. Generally quieter and less harsh than Horned. Song a high, rising, squeaky whistle ""ooEEK"" or ""ooEEKa"" repeated; reminicent of Sora but shorter, weaker. Other calls on breeding grounds mainly shrill, chittering series usually ending in upslur ""hik"".",,,
60,"Gaviidae, Podicipedidae",Horned Grebe,Podiceps auritus,14,"Essentially silent except on breeding grounds. Song trilling, usually in duet, with rising and falling pulses of sound: squeaky, giggling, nasal. Drier chatter in alarm. Common call in summer a whining, nasal ""way-urrr"" or ""ja-orrrr"" desceding, ending in throaty rattle, repeated. High, thin notes sometimes heard in winter.",,,
61,"Gaviidae, Podicipedidae",Red-necked Grebe,Podiceps grisegena,18,"Essentially silent except on breeding grounds. Song a loud series, beginning with nasal, gull-like quality, then braying chatter with quavering end. Male calls higher-pitched than female. Also a loud, nasal quacking series ""ga-ga-ga-ga…."". Low, grunting notes sometimes heard in winter.",,,
62,"Gaviidae, Podicipedidae",Western Grebe,Aechmophorus occidentalis,25,"Gives high, creaking, far-carrying calls. Most common year-round call a two-part ""kreed-kreet"" (Clark's gives long single-syllable call). Other calls similar to Clark's. Courting female gives long series of begging notes: ""krDEE krDEE…."". Various other calls on breeding grounds include a high, thin whistle.",,,
62,"Gaviidae, Podicipedidae",Clark's Grebe,Aechmophorus clarkii,25,"Similar to Western, but common year-round call a drawn-out single syllable ""kreeeed"" or ""kreee-eed"" (Western gives two-parted call). Courting female gives high, scratchy ""kweea kweea…"" or ""weeweeweewee…."".",,,
63,"Gaviidae, Podicipedidae",Least Grebe,Tachybaptus dominicus,9.5,"Quite vocal year round. Loud, ringing, nasal ""beep"" or ""teeen"" and nasal, whining ""verr"". Greeting call a rapid, nasal, uzzy chatter descending ""vvvvvvvvvvvvv"" similar to Pied-billed call but higher-pitched, much more rapid and buzzing. No sound analogous to song of Pied-billed.",,,
63,"Gaviidae, Podicipedidae",Pied-billed Grebe,Podilymbus podiceps,13,"Essentially silent except on breeding grounds. Song far-carrying, vibrant, throaty barks ""ge ge gadum gadum gadum gaum gaom gwaaaaaow gwaaaaaaow gaom"" given by male and female. Female also gives low grunting notes. Greeting call a drawn-out, nasal chatter slightly descending and fading away.",,,
66,"Diomedeidae, Procellariidae",Black-footed Albatross,Phoebastria nigripes,31,"Noisy in groups at sea: groaning or squealing noises,also bill-snapping. Courtship display at nest site involves melancholy groaning and bill-snapping in a simple dance.",,,
66,"Diomedeidae, Procellariidae",Laysan Albatross,Phoebastria immutabilis,30,"Voice quieter, higher, and less harsh and nasal than Black-footed; otherwise similar. Courtship dance at nest site more elaborate and with slower tempo than Black-footed.",,,
67,"Diomedeidae, Procellariidae",Short-tailed Albatross,Phoebastria albatrus,34,Generally silent at sea. Groaning sounds in display.,,,
68,"Diomedeidae, Procellariidae",Yellow-nosed Albatross,Thalassarche chlororhynchos,30,Usually silent at sea.,,,
68,"Diomedeidae, Procellariidae",Black-browed Albatross,Thalassarche melanphris,33,Usually silent at sea.,,,
69,"Diomedeidae, Procellariidae",Northern Fulmar,Fulmarus glacialis,18,"Generally silent at sea, but a hoarse, throaty cackling and grunting can he heard from feeding flocks. At nest site loud cackling of variable pattern ""AARK aaw"" or ""aak aak aak…."". Pacific apparently similar to Atlantic.",,,
70,"Diomedeidae, Procellariidae",Cook's Petrel,Pterodroma cookii,13,Generally silent at sea.,,,
70,"Diomedeidae, Procellariidae",Mottled Petrel,Pterodroma inexpectata,14,Generally silent at sea.,,,
71,"Diomedeidae, Procellariidae",Murphy's Petrel,Pterodroma ultima,14,Generally silent at sea.,,,
71,"Diomedeidae, Procellariidae",Hawaiian Petrel,Pterodroma sandwichensis,15,Generally silent at sea.,,,
72,"Diomedeidae, Procellariidae",Black-capped Petrel,Pterodroma hasitata,16,Generally silent at sea.,,,
73,"Diomedeidae, Procellariidae",Bermuda Petrel,Pterodroma cahow,14,Generally silent at sea.,,,
73,"Diomedeidae, Procellariidae",Fea's Petrel,Pterodroma feae,15,Generally silent at sea.,,,
74,"Diomedeidae, Procellariidae",Herald Petrel,Pterodroma arminjoniana,15,Generally silent at sea.,,,
75,"Diomedeidae, Procellariidae",Great-winged Petrel,Pterodroma macroptera,17,Generally silent at sea.,,,
75,"Diomedeidae, Procellariidae",White-chinned Petrel,Procellaria aequinoctialis,21,Generally silent at sea.,,,
75,"Diomedeidae, Procellariidae",Bulwer's Petrel,Bulweria bulwerii,11,Generally silent at sea.,,,
76,"Diomedeidae, Procellariidae",Cory's Shearwater,Calonectris diomedea,19,"Generally silent at sea. In feeding groups a raucous, nasal, descending bleating similar to Great.",,,
76,"Diomedeidae, Procellariidae",Great Shearwater,Puffinus gravis,18,"Generally silent at sea, but vocal in feeding groups, ofen bleating ""waaan"" like a lamb.",,,
77,"Diomedeidae, Procellariidae",Buller's Shearwater,Puffinus bulleri,17,Generally silent at sea.,,,
77,"Diomedeidae, Procellariidae",Pink-footed Shearwater,Puffinus creatopus,18,"Generally silent at sea. Vocal in feeding groups, giving a nasal, descending whinny.",,,
78,"Diomedeidae, Procellariidae",Flesh-footed Shearwater,Puffinus carneipes,18,Generally silent at sea.,,,
79,"Diomedeidae, Procellariidae",Short-tailed Shearwater,Puffinus tenuirostris,16.5,"Generally silent at sea. Calls at nest higher, more screeching than Sooty.",,,
79,"Diomedeidae, Procellariidae",Sooty Shearwater,Puffinus griseus,17.5,"Generally silent at sea. In feeding group occasionally gives raucous cry: a relatively high, nasal ""aaaa"".",,,
80,"Diomedeidae, Procellariidae",Black-vented Shearwater,Puffinus opisthomelas,14.5,Generally silent at sea. Voice at nest site undescribed.,,,
